date,SKU_A_Yoghurt,SKU_B_Detergent,SKU_C_XmasCookies,SKU_D_Coffee,SKU_E_Bread,SKU_F_Cleaning
2022-07-11,1002,598,49,91,1217,56
2022-07-18,1063,478,43,100,1221,0
2022-07-25,1008,637,46,61,1295,0
2022-08-01,1035,1026,32,79,1312,56
2022-08-08,1041,608,38,91,1095,140
2022-08-15,997,580,42,80,1047,134
2022-08-22,1101,642,50,105,1367,68
2022-08-29,1043,509,35,123,1395,0
2022-09-05,1068,533,46,79,1193,0
2022-09-12,1091,820,37,83,1121,0
2022-09-19,1081,547,39,98,1312,99
2022-09-26,1084,562,50,118,1395,52
2022-10-03,1025,797,16,78,1479,118
2022-10-10,991,882,24,98,1357,0
2022-10-17,995,556,22,120,1271,0
2022-10-24,881,621,12,72,1218,71
2022-10-31,877,677,32,77,1299,0
2022-11-07,864,788,474,89,1263,24
2022-11-14,863,571,491,88,1187,0
2022-11-21,926,630,459,106,1469,22
2022-11-28,827,712,463,98,1434,37
2022-12-05,838,685,429,70,1360,0
2022-12-12,919,620,485,102,1153,53
2022-12-19,801,639,425,87,1309,15
2022-12-26,848,540,501,113,1275,34
2023-01-02,732,631,515,86,1243,20
2023-01-09,761,629,33,86,1306,0
2023-01-16,704,669,22,103,1234,0
2023-01-23,730,606,29,106,1231,0
2023-01-30,793,1094,36,101,1209,96
2023-02-06,633,731,50,71,1170,25
2023-02-13,760,662,61,103,957,83
2023-02-20,747,678,23,81,1126,61
2023-02-27,700,654,45,98,1057,117
2023-03-06,653,650,28,75,982,0
2023-03-13,752,592,46,101,1258,0
2023-03-20,725,675,38,84,1259,0
2023-03-27,783,642,18,77,1222,32
2023-04-03,785,817,51,105,1117,49
2023-04-10,896,776,33,98,1223,63
2023-04-17,803,681,34,86,1100,43
2023-04-24,776,589,27,115,1123,37
2023-05-01,868,561,32,89,1007,80
2023-05-08,892,745,45,95,1157,49
2023-05-15,983,671,38,99,1135,0
2023-05-22,974,688,44,86,1017,25
2023-05-29,968,510,44,102,1148,0
2023-06-05,1057,724,56,88,1159,137
2023-06-12,919,686,36,89,1351,0
2023-06-19,973,561,22,114,1280,104
2023-06-26,975,612,53,80,1211,90
2023-07-03,1025,671,36,61,1249,46
2023-07-10,982,654,53,118,1245,93
2023-07-17,1117,627,45,131,1237,0
2023-07-24,1078,642,38,89,1168,70
2023-07-31,1012,630,44,68,1271,0
2023-08-07,1047,662,63,91,1228,93
2023-08-14,1132,768,65,91,1192,152
2023-08-21,1165,445,41,92,1371,34
2023-08-28,1234,631,42,79,1369,47
2023-09-04,1286,664,53,103,1171,0
2023-09-11,1131,674,30,102,1336,0
2023-09-18,1038,620,44,74,1448,0
2023-09-25,959,509,40,105,1457,150
2023-10-02,1091,1103,44,124,1456,80
2023-10-09,1011,788,30,97,1362,0
2023-10-16,1019,527,21,90,1277,65
2023-10-23,989,719,15,93,1251,49
2023-10-30,999,624,27,104,1381,71
2023-11-06,1051,645,476,71,1378,0
2023-11-13,976,566,439,97,1456,0
2023-11-20,936,623,510,90,1429,0
2023-11-27,863,754,455,121,1302,0
2023-12-04,804,697,505,93,1185,145
2023-12-11,855,789,354,118,1260,0
2023-12-18,862,744,435,80,1298,68
2023-12-25,954,685,337,103,1245,0
